City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Businga,CD,2022-04-15 18:13:43,3.3333,20.8833,22.34,90,94,0.9,overcast clouds
228,Puro,PH,2022-04-15 18:13:44,12.4841,123.3827,26.24,81,26,2.11,scattered clouds
229,Pitimbu,BR,2022-04-15 18:13:44,-7.4706,-34.8086,28.88,66,28,3.42,scattered clouds
230,Kailua,US,2022-04-15 18:14:44,21.4022,-157.7394,25.99,72,62,2.24,broken clouds
231,Hualmay,PE,2022-04-15 18:14:45,-11.0964,-77.6139,22.48,70,30,5.78,scattered clouds
232,Tyumentsevo,RU,2022-04-15 18:14:45,53.3224,81.498,9.95,49,0,2.91,clear sky
233,Naron,ES,2022-04-15 18:10:31,43.5167,-8.1528,18.71,78,3,0.91,clear sky
234,Lagunas,PE,2022-04-15 18:14:46,-5.2269,-75.6753,24.68,89,100,0.72,overcast clouds
235,Soyo,AO,2022-04-15 18:14:46,-6.1349,12.3689,24.69,93,100,4.18,moderate rain
236,Sisimiut,GL,2022-04-15 18:14:47,66.9395,-53.6735,-8.44,64,13,5.61,few clouds
237,Sao Joao Do Piaui,BR,2022-04-15 18:14:47,-8.3581,-42.2467,32.08,46,69,2.71,broken clouds
238,La Ronge,CA,2022-04-15 18:14:48,55.1001,-105.2842,-4.88,33,75,2.06,broken clouds
239,Viransehir,TR,2022-04-15 18:14:48,37.2353,39.7631,14.1,45,94,3.39,overcast clouds
240,Grindavik,IS,2022-04-15 18:14:49,63.8424,-22.4338,8.97,100,100,15.43,mist
241,Bambous Virieux,MU,2022-04-15 18:14:49,-20.3428,57.7575,24.14,94,75,4.12,light rain
242,Guerrero Negro,MX,2022-04-15 18:11:09,27.9769,-114.0611,18.41,59,100,6.86,overcast clouds
243,Bandarbeyla,SO,2022-04-15 18:14:49,9.4942,50.8122,28.06,82,88,5.02,overcast clouds
244,Bellavista,PE,2022-04-15 18:14:50,-7.0561,-76.5911,30.71,66,75,2.06,broken clouds
245,Araguari,BR,2022-04-15 18:13:19,-18.6472,-48.1872,27.12,48,24,3.63,few clouds
246,Rawson,AR,2022-04-15 18:12:53,-43.3002,-65.1023,25.96,23,0,4.07,clear sky
247,Tessalit,ML,2022-04-15 18:14:50,20.1986,1.0114,30.28,10,10,6.42,clear sky
