City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
503,Ilo,PE,21.48,clear sky,-17.6394,-71.3375,Torreblanca Hotel
504,Mon,IN,18.88,broken clouds,26.75,95.1,NCK Cottage
507,Catuday,PH,26.62,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
508,Russell,US,27.17,clear sky,32.3502,-85.1999,Macs
511,Grand-Santi,GF,27.49,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
513,Buala,SB,24.98,light rain,-8.145,159.5921,Maringe Lagoon Lodge
517,Pamanukan,ID,25.0,broken clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
522,Antalaha,MG,25.34,light rain,-14.9003,50.2788,Hotel Vitasoa
525,Mayo,US,23.15,clear sky,38.8876,-76.5119,Resorts Resource Group International
526,Birjand,IR,25.26,broken clouds,32.8663,59.2211,Birjand Tourist Hotel
528,Indian Head,US,23.36,clear sky,38.6001,-77.1622,"Red Carpet Inn Indian Head, MD"
530,Taltal,CL,18.25,clear sky,-25.4,-70.4833,Residencial Karime
534,Dunmore Town,BS,24.2,overcast clouds,25.5,-76.65,Coral Sands Hotel
537,Port Shepstone,ZA,18.36,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
538,Palma Del Rio,ES,26.18,clear sky,37.7002,-5.2812,Hotel Monasterio de San Francisco
547,Viedma,AR,23.24,clear sky,-40.8135,-62.9967,Hotel Cristal
551,Jambi,ID,23.92,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
553,Excelsior Springs,US,19.35,clear sky,39.3392,-94.2261,The Elms Hotel & Spa
554,Komatipoort,ZA,26.13,scattered clouds,-25.4332,31.9548,Kruger View Backpackers
555,Kalmunai,LK,26.84,clear sky,7.4167,81.8167,VS Villa
560,Huarmey,PE,22.88,few clouds,-10.0681,-78.1522,Hotel Miramar
561,Sumbe,AO,25.69,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
563,Labuhan,ID,26.35,overcast clouds,-6.8844,112.2051,DoubleFAG
566,Plymouth,US,20.12,clear sky,41.8334,-70.8328,Rodeway Inn Middleboro-Plymouth
568,Pangkalanbuun,ID,24.17,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
569,Alice Springs,AU,20.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
571,Pontianak,ID,24.99,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
